product_barcode,product_label,product_size,brand_name,manufacturer_country,manufacturer_name,scan_country,data_url,bottle_weight,bottle_count
0000000000000,Purified drinking water,500ml,Rehaan ice,KE,Al Hatim Traders,KE,https://wastebase.org/#/o/f434a282-c578-461d-b773-307feb39c462,,11
0000000000086,Original,500ml,Coca-Cola,US,Coca-Cola,CA,https://wastebase.org/#/o/c3710738-2999-4396-a284-6b70bf737fe6,,1
0021468375004,Chocolate Drink,250 g,Nestlé,CH,Nestlé S.A.,ZA,https://wastebase.org/#/o/59163cd7-c4b7-4834-b8f5-a5113e2084db,,1
0025833820458,Óleo de soja refinado,5.0 L,San drop,MZ,Gein Group,MZ,https://wastebase.org/#/o/45c04382-9034-4d6b-abbb-92daff751d13,,3
0025833821028,Óleo de soja refinado,2.0 L,San drop,MZ,Gein Group,MZ,https://wastebase.org/#/o/45c04382-9034-4d6b-abbb-92daff751d13,,67
0025833821059,Óleo de girassol refinado,5.0 L,San drop,MZ,Gein Group,MZ,https://wastebase.org/#/o/45c04382-9034-4d6b-abbb-92daff751d13,,53
00415668,Extra Virgin Olive Oil,1.0 L,Sainsbury's,GB,J Sainsbury plc,GB,https://wastebase.org/#/o/5f838907-d73e-4fb2-b6f9-952d19ce1105,,1
0055577420263,Fruit Punch,591 ml,Gatorade,US,"Pepsico, Inc",CA,https://wastebase.org/#/o/fa6fbb15-8b61-4e1d-867f-db43d9d31fd3,,1
0055577420515,Blue Cool Carbonated Sports Drink,591 ml,Gatorade,US,"Pepsico, Inc",CA,https://wastebase.org/#/o/fa6fbb15-8b61-4e1d-867f-db43d9d31fd3,,4
0055577420515,Blue Cool Carbonated Sports Drink,591 ml,Gatorade,US,"Pepsico, Inc",RW,https://wastebase.org/#/o/fa6fbb15-8b61-4e1d-867f-db43d9d31fd3,,4
0055577420751,Gatorade,591ml,Gatorade,US,"Pepsico, Inc",CA,https://wastebase.org/#/o/fa6fbb15-8b61-4e1d-867f-db43d9d31fd3,,2
0055577420935,G2 Fruit Punch Half the Sugar,591 ml,Gatorade,US,"Pepsico, Inc",CA,https://wastebase.org/#/o/fa6fbb15-8b61-4e1d-867f-db43d9d31fd3,,1
0055577420942,G2 Half The Sugar Grape,591 ml,Gatorade,US,"Pepsico, Inc",CA,https://wastebase.org/#/o/fa6fbb15-8b61-4e1d-867f-db43d9d31fd3,,1
0055577421017,Lemon Lime,710 ml,Gatorade,US,"Pepsico, Inc",CA,https://wastebase.org/#/o/fa6fbb15-8b61-4e1d-867f-db43d9d31fd3,,1
0055577421024,G Cool Blue,710 ml,Gatorade,US,"Pepsico, Inc",CA,https://wastebase.org/#/o/fa6fbb15-8b61-4e1d-867f-db43d9d31fd3,,2
0056920012012,Yop,266ml,Yoplait,US,"General Mills, Inc",CA,https://wastebase.org/#/o/a50bb239-3db4-4bbc-a42a-5107dcf79f54,,2
0056920012272,Vanilla Yop,200 ml,Yoplait,US,"General Mills, Inc",CA,https://wastebase.org/#/o/a50bb239-3db4-4bbc-a42a-5107dcf79f54,,1
0057271160025,Frost Carbonated Sports Drink,591 ml,Gatorade,US,"Pepsico, Inc",CA,https://wastebase.org/#/o/fa6fbb15-8b61-4e1d-867f-db43d9d31fd3,,2
0057271164108,G Zero,591 ml,Gatorade,US,"Pepsico, Inc",CA,https://wastebase.org/#/o/fa6fbb15-8b61-4e1d-867f-db43d9d31fd3,,1
0060383048051,Diet Cola,2.0 L,President's Choice,CA,Loblaw Companies Ltd,CA,https://wastebase.org/#/o/ad2567fb-874b-4658-b9cf-5c2394618222,,1
0060383048365,Strawberry Lemonade,1.54 L,President's Choice,CA,Loblaw Companies Ltd,CA,https://wastebase.org/#/o/ad2567fb-874b-4658-b9cf-5c2394618222,,1
0060383653293,Natural Spring Water,500 ml,President's Choice,CA,Loblaw Companies Ltd,CA,https://wastebase.org/#/o/ad2567fb-874b-4658-b9cf-5c2394618222,,5
0063124005443,1% Chocolate Milk,500 ml,Scotsburn,MZ,Saputo Inc,CA,https://wastebase.org/#/o/2899d6fa-8426-4c6a-b081-a62a4382cc1d,,4
00643764,Still Mountain Water from Scotland,500 ml,M&S Food,GB,Marks and Spencer plc,GB,https://wastebase.org/#/o/8e95169e-b45a-4c9c-b37f-fdde51861730,,1
00643764,Still Mountain Water from Scotland,500 ml,M&S Food,GB,Marks and Spencer plc,RW,https://wastebase.org/#/o/8e95169e-b45a-4c9c-b37f-fdde51861730,,1
0064480006013,Spring Water,500 ml,big8,CA,Empire Company Limited,CA,https://wastebase.org/#/o/5fcf39bd-870f-4cee-bc8f-16e2c93077c0,,10
0065400000968,Lemon Lime,710 ml,7UP,US,Keurig Dr Pepper Inc.,CA,https://wastebase.org/#/o/08d08755-55fa-4b19-aed1-dfe64a79e8f1,,1
0065400001019,7UP,591ml,7UP,US,Keurig Dr Pepper Inc.,CA,https://wastebase.org/#/o/08d08755-55fa-4b19-aed1-dfe64a79e8f1,,2
0065400005239,7up Zero,710 ml,7UP,US,Keurig Dr Pepper Inc.,CA,https://wastebase.org/#/o/08d08755-55fa-4b19-aed1-dfe64a79e8f1,,1
0067000104022,Original Taste,710 ml,Coca-Cola,US,Coca-Cola,CA,https://wastebase.org/#/o/c3710738-2999-4396-a284-6b70bf737fe6,,6
0067311020110,Orange,300 ml,Oasis,AE,Oasis Pure Water,CA,https://wastebase.org/#/o/e0a7b1cf-1330-49f7-aa06-f675c55d3ab7,,1
0068274000218,Drinking Water,500 ml,Pure Life,CH,Nestlé S.A.,CA,https://wastebase.org/#/o/59163cd7-c4b7-4834-b8f5-a5113e2084db,,2
0069000009840,Pepsi,710 ml,Pepsi,US,"Pepsico, Inc",CA,https://wastebase.org/#/o/fa6fbb15-8b61-4e1d-867f-db43d9d31fd3,,1
0069000014257,Diet Pepsi,355 ml,Pepsi,US,"Pepsico, Inc",CA,https://wastebase.org/#/o/fa6fbb15-8b61-4e1d-867f-db43d9d31fd3,,3
0069000061008,Pure Water Perfect Taste,500 ml,Aquafina,US,"Pepsico, Inc",CA,https://wastebase.org/#/o/fa6fbb15-8b61-4e1d-867f-db43d9d31fd3,,2
0069000061015,Pure Water Perfect Taste,591 ml,Aquafina,US,"Pepsico, Inc",CA,https://wastebase.org/#/o/fa6fbb15-8b61-4e1d-867f-db43d9d31fd3,,3
0076280045314,Calcium and Magnesium,1.600ml,Solaray Dietary supplement,UK,UNKNOWN_ORG,TZ,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,1
